1,1,912.00,399.00,156.00,111.00,1,-1,-1,-1
1,2,818.00,236.00,90.00,75.00,1,-1,-1,-1
1,3,503.00,120.00,59.00,25.00,1,-1,-1,-1
1,4,711.00,88.00,38.00,22.00,1,-1,-1,-1
1,5,0.00,496.00,31.00,54.00,1,-1,-1,-1
1,6,141.00,119.00,36.00,21.00,1,-1,-1,-1
2,1,911.00,399.00,156.00,112.00,1,-1,-1,-1
2,2,819.00,233.00,83.00,72.00,1,-1,-1,-1
2,3,494.00,121.00,60.00,25.00,1,-1,-1,-1
2,4,705.00,88.00,44.00,22.00,1,-1,-1,-1
2,5,0.00,496.00,31.00,54.00,1,-1,-1,-1
3,1,911.00,399.00,157.00,112.00,1,-1,-1,-1
3,2,820.00,228.00,77.00,71.00,1,-1,-1,-1
3,3,485.00,121.00,62.00,26.00,1,-1,-1,-1
3,4,697.00,88.00,48.00,22.00,1,-1,-1,-1
3,5,0.00,496.00,30.00,54.00,1,-1,-1,-1
4,1,911.00,399.00,156.00,112.00,1,-1,-1,-1
4,2,820.00,224.00,72.00,70.00,1,-1,-1,-1
4,3,476.00,122.00,62.00,26.00,1,-1,-1,-1
4,4,691.00,89.00,46.00,22.00,1,-1,-1,-1
4,5,0.00,496.00,30.00,54.00,1,-1,-1,-1
4,7,918.00,120.00,44.00,24.00,1,-1,-1,-1
5,1,911.00,399.00,157.00,112.00,1,-1,-1,-1
5,2,821.00,221.00,67.00,66.00,1,-1,-1,-1
5,3,460.00,125.00,69.00,25.00,1,-1,-1,-1
5,4,686.00,89.00,46.00,22.00,1,-1,-1,-1
5,5,0.00,496.00,30.00,54.00,1,-1,-1,-1
6,1,911.00,399.00,157.00,112.00,1,-1,-1,-1
6,2,823.00,218.00,63.00,65.00,1,-1,-1,-1
6,3,454.00,126.00,67.00,25.00,1,-1,-1,-1
6,4,677.00,90.00,47.00,24.00,1,-1,-1,-1
6,5,0.00,496.00,30.00,54.00,1,-1,-1,-1
6,6,141.00,119.00,36.00,21.00,1,-1,-1,-1
6,8,809.00,91.00,32.00,17.00,1,-1,-1,-1
7,1,911.00,399.00,157.00,112.00,1,-1,-1,-1
7,2,825.00,215.00,58.00,63.00,1,-1,-1,-1
7,3,441.00,127.00,72.00,25.00,1,-1,-1,-1
7,4,671.00,90.00,47.00,24.00,1,-1,-1,-1
7,5,0.00,496.00,30.00,54.00,1,-1,-1,-1
7,8,808.00,91.00,32.00,17.00,1,-1,-1,-1
